"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] MovieDateComparator2Years record1Value","[0] MovieDateComparator2Years record2Value","[0] MovieDateComparator2Years record1PreprocessedValue","[0] MovieDateComparator2Years record2PreprocessedValue","[0] MovieDateComparator2Years similarity","[0] MovieDateComparator2Years postproccesedSimilarity","[1] MovieTitleComparatorJaccard record1Value","[1] MovieTitleComparatorJaccard record2Value","[1] MovieTitleComparatorJaccard record1PreprocessedValue","[1] MovieTitleComparatorJaccard record2PreprocessedValue","[1] MovieTitleComparatorJaccard similarity","[1] MovieTitleComparatorJaccard postproccesedSimilarity"
"LinearCombinationMatchingRule","academy_awards_2169","actors_106","0.0",,"1970-01-01T00:00","1956-01-01T00:00","1970-01-01T00:00","1956-01-01T00:00","0.0","0.0","The Baby Maker","Marty","The Baby Maker","Marty","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_327","actors_23","0.0",,"2005-01-01T00:00","1951-01-01T00:00","2005-01-01T00:00","1951-01-01T00:00","0.0","0.0","Star Wars: Episode III Revenge of the Sith","Born Yesterday","Star Wars: Episode III Revenge of the Sith","Born Yesterday","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_2292","actors_102","0.0",,"1967-01-01T00:00","1952-01-01T00:00","1967-01-01T00:00","1952-01-01T00:00","0.0","0.0","Thoroughly Modern Millie","The African Queen","Thoroughly Modern Millie","The African Queen","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_2169","actors_107","0.11666666666666665",,"1970-01-01T00:00","1957-01-01T00:00","1970-01-01T00:00","1957-01-01T00:00","0.0","0.0","The Baby Maker","The King and I","The Baby Maker","The King and I","0.16666666666666666","0.16666666666666666"
"LinearCombinationMatchingRule","academy_awards_4147","actors_42","0.0",,"1938-01-01T00:00","1969-01-01T00:00","1938-01-01T00:00","1969-01-01T00:00","0.0","0.0","Three Comrades","The Lion in Winter","Three Comrades","The Lion in Winter","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_2413","actors_41","0.0",,"1965-01-01T00:00","1969-01-01T00:00","1965-01-01T00:00","1969-01-01T00:00","0.0","0.0","Let My People Go","Funny Girl","Let My People Go","Funny Girl","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_2413","actors_40","0.0",,"1965-01-01T00:00","1968-01-01T00:00","1965-01-01T00:00","1968-01-01T00:00","0.0","0.0","Let My People Go","Guess Who�s Coming to Dinner","Let My People Go","Guess Who�s Coming to Dinner","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_1113","actors_24","0.0",,"1990-01-01T00:00","1952-01-01T00:00","1990-01-01T00:00","1952-01-01T00:00","0.0","0.0","Dances With Wolves","A Streetcar Named Desire","Dances With Wolves","A Streetcar Named Desire","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_1113","actors_25","0.0",,"1990-01-01T00:00","1953-01-01T00:00","1990-01-01T00:00","1953-01-01T00:00","0.0","0.0","Dances With Wolves","Come Back, Little Sheba","Dances With Wolves","Come Back, Little Sheba","0.0","0.0"
"LinearCombinationMatchingRule","academy_awards_1605","actors_129","0.3",,"1981-01-01T00:00","1981-01-01T00:00","1981-01-01T00:00","1981-01-01T00:00","1.0","1.0","Muddy River","Raging Bull","Muddy River","Raging Bull","0.0","0.0"
