"Blocking Key Value","Frequency"
"auderghem","58"
"ganshoren","22"
"blackrock","10"
"strasbourg","7"
"vila nova de gaia","3"
"utrecht,tres cantos","2"
"fontainebleau,chasselay,terrugem","1"
"copenhagen","42660"
"prague","30723"
"budapest","15470"
"athens","15138"
"helsinki","8838"
"porto","5464"
"ixelles","1521"
"uccle","249"
"woluwe-saint-lambert","153"
"saint-gilles","152"
"paris","2050785"
"madrid","290043"
"rome","131638"
"milan","111783"
"amsterdam","104364"
"vienna","60629"
"lyon","54189"
"munich","52668"
"lisbon","48356"
"stockholm","44560"
"anderlecht","136"
"jette","66"
