"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] RestaurantNameComparatorLevenshtein record1Value","[0] RestaurantNameComparatorLevenshtein record2Value","[0] RestaurantNameComparatorLevenshtein record1PreprocessedValue","[0] RestaurantNameComparatorLevenshtein record2PreprocessedValue","[0] RestaurantNameComparatorLevenshtein similarity","[0] RestaurantNameComparatorLevenshtein postproccesedSimilarity","[1] RestaurantCityComparatorEqual record1Value","[1] RestaurantCityComparatorEqual record2Value","[1] RestaurantCityComparatorEqual record1PreprocessedValue","[1] RestaurantCityComparatorEqual record2PreprocessedValue","[1] RestaurantCityComparatorEqual similarity","[1] RestaurantCityComparatorEqual postproccesedSimilarity","[2] RestaurantPostalCodeComparatorLevenshtein record1Value","[2] RestaurantPostalCodeComparatorLevenshtein record2Value","[2] RestaurantPostalCodeComparatorLevenshtein record1PreprocessedValue","[2] RestaurantPostalCodeComparatorLevenshtein record2PreprocessedValue","[2] RestaurantPostalCodeComparatorLevenshtein similarity","[2] RestaurantPostalCodeComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","michelin_2267","tripadvisor_54538","0.28",,"yugo","samm","yugo","samm","0.0","0.0","madrid","madrid","madrid","madrid","1.0","1.0","28014","28016","28014","28016","0.8","0.8"
"LinearCombinationMatchingRule","michelin_2267","tripadvisor_54539","0.32363636363636367",,"yugo","el pescador","yugo","el pescador","0.09090909090909094","0.09090909090909094","madrid","madrid","madrid","madrid","1.0","1.0","28014","28049","28014","28049","0.6","0.6"
"LinearCombinationMatchingRule","michelin_1044","tripadvisor_74597","0.3436363636363637",,"don juan ii","margo","don juan ii","margo","0.09090909090909094","0.09090909090909094","paris","paris","paris","paris","1.0","1.0","75016","75011","75016","75011","0.8","0.8"
"LinearCombinationMatchingRule","michelin_1521","tripadvisor_75184","0.42736842105263156",,"la condesa","le versance gourmet","la condesa","le versance gourmet","0.21052631578947367","0.21052631578947367","paris","paris","paris","paris","1.0","1.0","75009","75002","75009","75002","0.8","0.8"
"LinearCombinationMatchingRule","michelin_1044","tripadvisor_74596","0.37666666666666665",,"don juan ii","cafe l' imprimerie","don juan ii","cafe l' imprimerie","0.16666666666666663","0.16666666666666663","paris","paris","paris","paris","1.0","1.0","75016","75001","75016","75001","0.6","0.6"
"LinearCombinationMatchingRule","michelin_1044","tripadvisor_72176","0.43",,"don juan ii","butte aux thai","don juan ii","butte aux thai","0.2142857142857143","0.2142857142857143","paris","paris","paris","paris","1.0","1.0","75016","75013","75016","75013","0.8","0.8"
"LinearCombinationMatchingRule","michelin_2123","tripadvisor_32644","0.32063492063492066",,"eneko lisboa","restaurante kampai","eneko lisboa","restaurante kampai","0.11111111111111116","0.11111111111111116","lisbon","lisbon","lisbon","lisbon","1.0","1.0","1300388","1200661","1300388","1200661","0.4285714285714286","0.4285714285714286"
"LinearCombinationMatchingRule","michelin_1055","tripadvisor_80527","0.28",,"l'orangerie","bab el oued","l'orangerie","bab el oued","0.0","0.0","paris","paris","paris","paris","1.0","1.0","75008","75009","75008","75009","0.8","0.8"
"LinearCombinationMatchingRule","michelin_1505","tripadvisor_70219","0.35333333333333333",,"le rigmarole","schwartz's deli","le rigmarole","schwartz's deli","0.1333333333333333","0.1333333333333333","paris","paris","paris","paris","1.0","1.0","75011","75004","75011","75004","0.6","0.6"
"LinearCombinationMatchingRule","michelin_1019","tripadvisor_72162","0.42500000000000004",,"jean imbert au plaza athénée","elysees ottoman","jean imbert au plaza athénée","elysees ottoman","0.1785714285714286","0.1785714285714286","paris","paris","paris","paris","1.0","1.0","75008","75008","75008","75008","1.0","1.0"
"LinearCombinationMatchingRule","michelin_1505","tripadvisor_70218","0.39666666666666667",,"le rigmarole","coretta","le rigmarole","coretta","0.16666666666666663","0.16666666666666663","paris","paris","paris","paris","1.0","1.0","75011","75017","75011","75017","0.8","0.8"
