,id_x,id_y,match
0,michelin_6,tripadvisor_22475,True
1,michelin_20,tripadvisor_69931,True
2,michelin_25,tripadvisor_69943,True
3,michelin_41,tripadvisor_70911,True
4,michelin_47,tripadvisor_27473,True
5,michelin_58,tripadvisor_35707,True
6,michelin_60,tripadvisor_35663,True
7,michelin_62,tripadvisor_35908,True
8,michelin_63,tripadvisor_94353,True
9,michelin_82,tripadvisor_52766,True
10,michelin_111,tripadvisor_86791,True
11,michelin_150,tripadvisor_91854,True
12,michelin_152,tripadvisor_22596,True
13,michelin_155,tripadvisor_91862,True
14,michelin_222,tripadvisor_70170,True
15,michelin_223,tripadvisor_70423,True
16,michelin_225,tripadvisor_69960,True
17,michelin_229,tripadvisor_70318,True
18,michelin_4184,tripadvisor_50780,True
19,michelin_284,tripadvisor_50381,True
20,michelin_296,tripadvisor_11831,True
21,michelin_327,tripadvisor_11736,True
22,michelin_348,tripadvisor_35706,True
23,michelin_349,tripadvisor_36279,True
24,michelin_351,tripadvisor_39749,True
25,michelin_353,tripadvisor_35778,True
26,michelin_355,tripadvisor_35814,True
27,michelin_356,tripadvisor_37298,True
28,michelin_357,tripadvisor_36943,True
29,michelin_362,tripadvisor_94199,True
30,michelin_363,tripadvisor_94258,True
31,michelin_396,tripadvisor_32220,True
32,michelin_415,tripadvisor_53481,True
33,michelin_417,tripadvisor_52749,True
34,michelin_425,tripadvisor_4632,True
35,michelin_426,tripadvisor_4752,True
36,michelin_427,tripadvisor_4891,True
37,michelin_509,tripadvisor_60738,True
38,michelin_514,tripadvisor_88211,True
39,michelin_517,tripadvisor_2948,True
40,michelin_1038,tripadvisor_70356,True
41,michelin_1039,tripadvisor_70165,True
42,michelin_672,tripadvisor_30109,True
43,michelin_673,tripadvisor_22530,True
44,michelin_674,tripadvisor_22482,True
45,michelin_679,tripadvisor_22607,True
46,michelin_681,tripadvisor_22483,True
47,michelin_690,tripadvisor_30258,True
48,michelin_710,tripadvisor_91975,True
49,michelin_713,tripadvisor_91869,True
50,michelin_1060,tripadvisor_69986,True
51,michelin_754,tripadvisor_251,True
52,michelin_757,tripadvisor_262,True
53,michelin_796,tripadvisor_3,True
54,michelin_798,tripadvisor_343,True
55,michelin_827,tripadvisor_51,True
56,michelin_858,tripadvisor_17494,True
57,michelin_864,tripadvisor_17581,True
58,michelin_910,tripadvisor_17453,True
59,michelin_1961,tripadvisor_35877,True
60,michelin_922,tripadvisor_17720,True
61,michelin_935,tripadvisor_17586,True
62,michelin_1021,tripadvisor_50515,True
63,michelin_1041,tripadvisor_72413,True
64,michelin_1045,tripadvisor_70355,True
65,michelin_1046,tripadvisor_75390,True
66,michelin_1049,tripadvisor_70000,True
67,michelin_1050,tripadvisor_70019,True
68,michelin_1054,tripadvisor_69954,True
69,michelin_1055,tripadvisor_70169,True
70,michelin_1057,tripadvisor_75611,True
71,michelin_1058,tripadvisor_72331,True
72,michelin_1059,tripadvisor_70293,True
73,michelin_1063,tripadvisor_70326,True
74,michelin_1065,tripadvisor_73849,True
75,michelin_1067,tripadvisor_69988,True
76,michelin_1071,tripadvisor_70694,True
77,michelin_1074,tripadvisor_70111,True
78,michelin_1075,tripadvisor_70298,True
79,michelin_1077,tripadvisor_70349,True
80,michelin_1079,tripadvisor_69927,True
81,michelin_1081,tripadvisor_69941,True
82,michelin_1096,tripadvisor_70735,True
83,michelin_1097,tripadvisor_75011,True
84,michelin_1101,tripadvisor_70378,True
85,michelin_1110,tripadvisor_70417,True
86,michelin_1128,tripadvisor_71366,True
87,michelin_1232,tripadvisor_50397,True
88,michelin_1253,tripadvisor_50617,True
89,michelin_1278,tripadvisor_50384,True
90,michelin_1295,tripadvisor_50444,True
91,michelin_1320,tripadvisor_50453,True
92,michelin_1360,tripadvisor_50445,True
93,michelin_1409,tripadvisor_70082,True
94,michelin_1412,tripadvisor_70200,True
95,michelin_1423,tripadvisor_69938,True
96,michelin_1442,tripadvisor_70474,True
97,michelin_1447,tripadvisor_70153,True
98,michelin_1455,tripadvisor_72444,True
