"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] RestaurantNameComparatorLevenshtein record1Value","[0] RestaurantNameComparatorLevenshtein record2Value","[0] RestaurantNameComparatorLevenshtein record1PreprocessedValue","[0] RestaurantNameComparatorLevenshtein record2PreprocessedValue","[0] RestaurantNameComparatorLevenshtein similarity","[0] RestaurantNameComparatorLevenshtein postproccesedSimilarity","[1] RestaurantCityComparatorLevenshtein record1Value","[1] RestaurantCityComparatorLevenshtein record2Value","[1] RestaurantCityComparatorLevenshtein record1PreprocessedValue","[1] RestaurantCityComparatorLevenshtein record2PreprocessedValue","[1] RestaurantCityComparatorLevenshtein similarity","[1] RestaurantCityComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","michelin_2267","tripadvisor_54538","0.3",,"yugo","samm","yugo","samm","0.0","0.0","madrid","madrid","madrid","madrid","1.0","1.0"
"LinearCombinationMatchingRule","michelin_2267","tripadvisor_54539","0.36363636363636365",,"yugo","el pescador","yugo","el pescador","0.09090909090909094","0.09090909090909094","madrid","madrid","madrid","madrid","1.0","1.0"
"LinearCombinationMatchingRule","michelin_1044","tripadvisor_74597","0.36363636363636365",,"don juan ii","margo","don juan ii","margo","0.09090909090909094","0.09090909090909094","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_1521","tripadvisor_75184","0.4473684210526315",,"la condesa","le versance gourmet","la condesa","le versance gourmet","0.21052631578947367","0.21052631578947367","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_1044","tripadvisor_74596","0.41666666666666663",,"don juan ii","cafe l' imprimerie","don juan ii","cafe l' imprimerie","0.16666666666666663","0.16666666666666663","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_1044","tripadvisor_72176","0.44999999999999996",,"don juan ii","butte aux thai","don juan ii","butte aux thai","0.2142857142857143","0.2142857142857143","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_2123","tripadvisor_32644","0.37777777777777777",,"eneko lisboa","restaurante kampai","eneko lisboa","restaurante kampai","0.11111111111111116","0.11111111111111116","lisbon","lisbon","lisbon","lisbon","1.0","1.0"
"LinearCombinationMatchingRule","michelin_1055","tripadvisor_80527","0.3",,"l'orangerie","bab el oued","l'orangerie","bab el oued","0.0","0.0","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_1505","tripadvisor_70219","0.3933333333333333",,"le rigmarole","schwartz's deli","le rigmarole","schwartz's deli","0.1333333333333333","0.1333333333333333","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_1019","tripadvisor_72162","0.42500000000000004",,"jean imbert au plaza athénée","elysees ottoman","jean imbert au plaza athénée","elysees ottoman","0.1785714285714286","0.1785714285714286","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_1505","tripadvisor_70218","0.41666666666666663",,"le rigmarole","coretta","le rigmarole","coretta","0.16666666666666663","0.16666666666666663","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_1505","tripadvisor_72635","0.5916666666666666",,"le rigmarole","le biscornu","le rigmarole","le biscornu","0.41666666666666663","0.41666666666666663","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_1505","tripadvisor_72634","0.3466666666666666",,"le rigmarole","piccola toscana","le rigmarole","piccola toscana","0.06666666666666665","0.06666666666666665","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_3830","tripadvisor_74576","0.44999999999999996",,"l'antre amis","backstage cafe","l'antre amis","backstage cafe","0.2142857142857143","0.2142857142857143","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_3830","tripadvisor_72157","0.391304347826087",,"l'antre amis","au terminus du chatelet","l'antre amis","au terminus du chatelet","0.13043478260869568","0.13043478260869568","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_3830","tripadvisor_76995","0.35833333333333334",,"l'antre amis","gag","l'antre amis","gag","0.08333333333333337","0.08333333333333337","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_833","tripadvisor_2225","0.38749999999999996",,"wils","amstel boathouse","wils","amstel boathouse","0.125","0.125","amsterdam","amsterdam","amsterdam","amsterdam","1.0","1.0"
"LinearCombinationMatchingRule","michelin_833","tripadvisor_2226","0.335",,"wils","caf restaurant sharm","wils","caf restaurant sharm","0.050000000000000044","0.050000000000000044","amsterdam","amsterdam","amsterdam","amsterdam","1.0","1.0"
"LinearCombinationMatchingRule","michelin_1061","tripadvisor_78096","0.4521739130434782",,"jacques faussat","le comptoir du faubourg","jacques faussat","le comptoir du faubourg","0.21739130434782605","0.21739130434782605","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_1072","tripadvisor_75558","0.405",,"114, faubourg","kapunka montparnasse","114, faubourg","kapunka montparnasse","0.15000000000000002","0.15000000000000002","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_1460","tripadvisor_52734","0.3",,"rustique","minado","rustique","minado","0.0","0.0","lyon","lyon","lyon","lyon","1.0","1.0"
"LinearCombinationMatchingRule","michelin_1075","tripadvisor_78923","0.5333333333333333",,"le jules verne","la tour de flandre","le jules verne","la tour de flandre","0.33333333333333337","0.33333333333333337","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_1057","tripadvisor_80529","0.38235294117647056",,"yoshinori","etoile du kashmir","yoshinori","etoile du kashmir","0.11764705882352944","0.11764705882352944","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_3840","tripadvisor_81973","0.43999999999999995",,"zen","restaurant","zen","restaurant","0.19999999999999996","0.19999999999999996","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_1072","tripadvisor_73139","0.3411764705882353",,"114, faubourg","le pain quotidien","114, faubourg","le pain quotidien","0.05882352941176472","0.05882352941176472","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_1075","tripadvisor_76502","0.43999999999999995",,"le jules verne","herb-tea taiwan","le jules verne","herb-tea taiwan","0.19999999999999996","0.19999999999999996","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_3850","tripadvisor_79018","0.39545454545454545",,"jouvence","la maison de l'architecture en ile-de-france","jouvence","la maison de l'architecture en ile-de-france","0.13636363636363635","0.13636363636363635","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_82","tripadvisor_59449","0.41666666666666663",,"diverxo","foster's hollywood","diverxo","foster's hollywood","0.16666666666666663","0.16666666666666663","madrid","madrid","madrid","madrid","1.0","1.0"
"LinearCombinationMatchingRule","michelin_3832","tripadvisor_74574","0.4",,"pottoka","ginza","pottoka","ginza","0.1428571428571429","0.1428571428571429","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_1433","tripadvisor_70150","0.3411764705882353",,"at","neromora paris ristorante pizzeria","at","neromora paris ristorante pizzeria","0.05882352941176472","0.05882352941176472","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_3885","tripadvisor_70617","0.475",,"le caillebotte","le lamarck paris","le caillebotte","le lamarck paris","0.25","0.25","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_3832","tripadvisor_72159","0.37777777777777777",,"pottoka","vin et maree murat exelmans","pottoka","vin et maree murat exelmans","0.11111111111111116","0.11111111111111116","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_3821","tripadvisor_79496","0.44999999999999996",,"sellae","grill istanbul","sellae","grill istanbul","0.2142857142857143","0.2142857142857143","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_3832","tripadvisor_76993","0.34375",,"pottoka","le cafe sans nom","pottoka","le cafe sans nom","0.0625","0.0625","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_4221","tripadvisor_72489","0.335",,"mokko","domaine de lintillac","mokko","domaine de lintillac","0.050000000000000044","0.050000000000000044","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_3821","tripadvisor_77079","0.38235294117647056",,"sellae","champagnes & vins","sellae","champagnes & vins","0.11764705882352944","0.11764705882352944","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_3885","tripadvisor_70616","0.4",,"le caillebotte","firmine","le caillebotte","firmine","0.1428571428571429","0.1428571428571429","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_4221","tripadvisor_72488","0.3",,"mokko","les argentiers","mokko","les argentiers","0.0","0.0","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_711","tripadvisor_22739","0.4076923076923077",,"alouette","kystens perle","alouette","kystens perle","0.15384615384615385","0.15384615384615385","copenhagen","copenhagen","copenhagen","copenhagen","1.0","1.0"
"LinearCombinationMatchingRule","michelin_2265","tripadvisor_54536","0.3",,"kabuki","gerardo","kabuki","gerardo","0.0","0.0","madrid","madrid","madrid","madrid","1.0","1.0"
"LinearCombinationMatchingRule","michelin_229","tripadvisor_79555","0.44999999999999996",,"maison rostang","cafe moco","maison rostang","cafe moco","0.2142857142857143","0.2142857142857143","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_229","tripadvisor_79554","0.44999999999999996",,"maison rostang","sushi itchi","maison rostang","sushi itchi","0.2142857142857143","0.2142857142857143","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_229","tripadvisor_77136","0.4",,"maison rostang","le lagny","maison rostang","le lagny","0.1428571428571429","0.1428571428571429","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_3373","tripadvisor_23500","0.3",,"mêlée","takii sushi","mêlée","takii sushi","0.0","0.0","copenhagen","copenhagen","copenhagen","copenhagen","1.0","1.0"
"LinearCombinationMatchingRule","michelin_3370","tripadvisor_22558","0.5333333333333333",,"enomania","pho hanoi","enomania","pho hanoi","0.33333333333333337","0.33333333333333337","copenhagen","copenhagen","copenhagen","copenhagen","1.0","1.0"
"LinearCombinationMatchingRule","michelin_16","tripadvisor_81727","0.43124999999999997",,"alléno paris au pavillon ledoyen","l'atelier lazare","alléno paris au pavillon ledoyen","l'atelier lazare","0.1875","0.1875","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_752","tripadvisor_2148","0.43999999999999995",,"sinne","staal","sinne","staal","0.19999999999999996","0.19999999999999996","amsterdam","amsterdam","amsterdam","amsterdam","1.0","1.0"
"LinearCombinationMatchingRule","michelin_18","tripadvisor_81721","0.3",,"épicure","mcdonald's","épicure","mcdonald's","0.0","0.0","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_3813","tripadvisor_81968","0.49090909090909085",,"cheval d'or","chinos","cheval d'or","chinos","0.2727272727272727","0.2727272727272727","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_3358","tripadvisor_92373","0.3",,"kagges","soppan","kagges","soppan","0.0","0.0","stockholm","stockholm","stockholm","stockholm","1.0","1.0"
"LinearCombinationMatchingRule","michelin_3834","tripadvisor_76991","0.38749999999999996",,"brigade du tigre","rambo","brigade du tigre","rambo","0.125","0.125","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_1049","tripadvisor_75542","0.6230769230769231",,"les climats","les byzantins","les climats","les byzantins","0.46153846153846156","0.46153846153846156","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_1049","tripadvisor_73123","0.6181818181818182",,"les climats","le carolus","les climats","le carolus","0.4545454545454546","0.4545454545454546","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_1046","tripadvisor_74599","0.3",,"automne","pratz","automne","pratz","0.0","0.0","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_3834","tripadvisor_76990","0.475",,"brigade du tigre","kaun neak sre","brigade du tigre","kaun neak sre","0.25","0.25","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_3834","tripadvisor_74572","0.38749999999999996",,"brigade du tigre","les ptits gros","brigade du tigre","les ptits gros","0.125","0.125","paris","paris","paris","paris","1.0","1.0"
"LinearCombinationMatchingRule","michelin_1435","tripadvisor_74991","0.409375",,"bellefeuille - saint james paris","korean barbeque","bellefeuille - saint james paris","korean barbeque","0.15625","0.15625","paris","paris","paris","paris","1.0","1.0"
