"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] RestaurantNameComparatorLevenshtein record1Value","[0] RestaurantNameComparatorLevenshtein record2Value","[0] RestaurantNameComparatorLevenshtein record1PreprocessedValue","[0] RestaurantNameComparatorLevenshtein record2PreprocessedValue","[0] RestaurantNameComparatorLevenshtein similarity","[0] RestaurantNameComparatorLevenshtein postproccesedSimilarity","[1] RestaurantCityComparatorEqual record1Value","[1] RestaurantCityComparatorEqual record2Value","[1] RestaurantCityComparatorEqual record1PreprocessedValue","[1] RestaurantCityComparatorEqual record2PreprocessedValue","[1] RestaurantCityComparatorEqual similarity","[1] RestaurantCityComparatorEqual postproccesedSimilarity","[2] RestaurantPostalCodeComparatorLevenshtein record1Value","[2] RestaurantPostalCodeComparatorLevenshtein record2Value","[2] RestaurantPostalCodeComparatorLevenshtein record1PreprocessedValue","[2] RestaurantPostalCodeComparatorLevenshtein record2PreprocessedValue","[2] RestaurantPostalCodeComparatorLevenshtein similarity","[2] RestaurantPostalCodeComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","bookuber_23420","tripadvisor_79059","0.4076923076923077",,"l'anvers du décor","bar restaurant le bienvenu","l'anvers du décor","bar restaurant le bienvenu","0.15384615384615385","0.15384615384615385","paris","paris","paris","paris","1.0","1.0","75018","75018","75018","75018","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_19319","tripadvisor_9539","0.23999999999999996",,"baur au lac terrasse","restaurante touareg","baur au lac terrasse","restaurante touareg","0.19999999999999996","0.19999999999999996","zürich","","zürich","","0.0","0.0","8001","8001","8001","8001","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_17070","tripadvisor_7554","0.1875",,"glärnischho","restaurante boga","glärnischho","restaurante boga","0.125","0.125","zürich","","zürich","","0.0","0.0","8002","8002","8002","8002","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_19891","tripadvisor_15833","0.26470588235294124",,"la banca","bistro mainhattan","la banca","bistro mainhattan","0.23529411764705888","0.23529411764705888","berlin","","berlin","","0.0","0.0","10117","10117","10117","10117","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_14392","tripadvisor_50555","0.33684210526315794",,"skipjack - poké bar","l'atelier d'yvonne","skipjack - poké bar","l'atelier d'yvonne","0.052631578947368474","0.052631578947368474","lyon","lyon","lyon","lyon","1.0","1.0","69002","69002","69002","69002","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_17070","tripadvisor_5137","0.1411764705882353",,"glärnischho","bosc de les fades","glärnischho","bosc de les fades","0.05882352941176472","0.05882352941176472","zürich","","zürich","","0.0","0.0","8002","8002","8002","8002","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_19501","tripadvisor_78125","0.42727272727272725",,"taokan sain","corn'r","taokan sain","corn'r","0.18181818181818177","0.18181818181818177","paris","paris","paris","paris","1.0","1.0","75001","75001","75001","75001","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_16738","tripadvisor_75973","0.475",,"hard rock cafe paris","cafe limo","hard rock cafe paris","cafe limo","0.25","0.25","paris","paris","paris","paris","1.0","1.0","75009","75009","75009","75009","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_16738","tripadvisor_71136","0.405",,"hard rock cafe paris","l'avenir","hard rock cafe paris","l'avenir","0.15000000000000002","0.15000000000000002","paris","paris","paris","paris","1.0","1.0","75009","75009","75009","75009","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_19277","tripadvisor_78885","0.43999999999999995",,"kaitleen","leda restaurant","kaitleen","leda restaurant","0.19999999999999996","0.19999999999999996","paris","paris","paris","paris","1.0","1.0","75001","75001","75001","75001","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_19751","tripadvisor_78273","0.41666666666666663",,"ao izakaya","cafe lorette","ao izakaya","cafe lorette","0.16666666666666663","0.16666666666666663","paris","paris","paris","paris","1.0","1.0","75009","75009","75009","75009","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_19751","tripadvisor_78272","0.36363636363636365",,"ao izakaya","l'archicafe","ao izakaya","l'archicafe","0.09090909090909094","0.09090909090909094","paris","paris","paris","paris","1.0","1.0","75009","75009","75009","75009","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_16538","tripadvisor_70702","0.1",,"rech","la famiglia","rech","la famiglia","0.0","0.0","paris 17","paris","paris 17","paris","0.0","0.0","75017","75017","75017","75017","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_15874","tripadvisor_18762","0.20000000000000004",,"bocconi","suki","bocconi","suki","0.1428571428571429","0.1428571428571429","brussels","","brussels","","0.0","0.0","1000","1000","1000","1000","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_24231","tripadvisor_77131","0.48421052631578954",,"nakatani","la maison italienne","nakatani","la maison italienne","0.26315789473684215","0.26315789473684215","paris","paris","paris","paris","1.0","1.0","75007","75007","75007","75007","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_1201","tripadvisor_55730","0.46896551724137936",,"allo pizza san ildefonso","la catrina cantina mezcaleria","allo pizza san ildefonso","la catrina cantina mezcaleria","0.24137931034482762","0.24137931034482762","madrid","madrid","madrid","madrid","1.0","1.0","28004","28004","28004","28004","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_24444","tripadvisor_79629","0.38235294117647056",,"ma salle a manger","mcdonald's","ma salle a manger","mcdonald's","0.11764705882352944","0.11764705882352944","paris","paris","paris","paris","1.0","1.0","75001","75001","75001","75001","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_14916","tripadvisor_76969","0.42727272727272725",,"au coeur de l'himalaya","l'arc en ciel","au coeur de l'himalaya","l'arc en ciel","0.18181818181818177","0.18181818181818177","paris","paris","paris","paris","1.0","1.0","75019","75019","75019","75019","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_15065","tripadvisor_80566","0.2346153846153846",,"les jardins de mandchourie","villa romana","les jardins de mandchourie","villa romana","0.1923076923076923","0.1923076923076923","paris 12","paris","paris 12","paris","0.0","0.0","75012","75012","75012","75012","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_17302","tripadvisor_16432","0.19545454545454544",,"rausch schokoladenhaus","pommstore","rausch schokoladenhaus","pommstore","0.13636363636363635","0.13636363636363635","berlin","","berlin","","0.0","0.0","10117","10117","10117","10117","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_19478","tripadvisor_79196","0.475",,"bistrot beyrouth","les trois compagnons","bistrot beyrouth","les trois compagnons","0.25","0.25","paris","paris","paris","paris","1.0","1.0","75011","75011","75011","75011","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_16032","tripadvisor_73963","0.25",,"maison blanche","le beaucour","maison blanche","le beaucour","0.2142857142857143","0.2142857142857143","paris 08","paris","paris 08","paris","0.0","0.0","75008","75008","75008","75008","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_22149","tripadvisor_15545","0.23999999999999996",,"relish","cafe lucre","relish","cafe lucre","0.19999999999999996","0.19999999999999996","berlin","","berlin","","0.0","0.0","10117","10117","10117","10117","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_24919","tripadvisor_74451","0.375",,"ehden","hokkaido restaurant japonais","ehden","hokkaido restaurant japonais","0.1071428571428571","0.1071428571428571","paris","paris","paris","paris","1.0","1.0","75010","75010","75010","75010","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_19591","tripadvisor_82705","0.22352941176470592",,"la marquière","restaurant michal","la marquière","restaurant michal","0.17647058823529416","0.17647058823529416","carcassonne","prague","carcassonne","prague","0.0","0.0","11000","11000","11000","11000","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_19591","tripadvisor_82706","0.25",,"la marquière","vinarna puskin","la marquière","vinarna puskin","0.2142857142857143","0.2142857142857143","carcassonne","prague","carcassonne","prague","0.0","0.0","11000","11000","11000","11000","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_25166","tripadvisor_80445","0.4866666666666667",,"le café d'angel","le descazeau","le café d'angel","le descazeau","0.2666666666666667","0.2666666666666667","paris","paris","paris","paris","1.0","1.0","75017","75017","75017","75017","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_16206","tripadvisor_85394","0.16999999999999998",,"le cathare","subway","le cathare","subway","0.09999999999999998","0.09999999999999998","carcassonne","prague","carcassonne","prague","0.0","0.0","11000","11000","11000","11000","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_1289","tripadvisor_23746","0.21052631578947373",,"ginza izakaya","letz sushi nordhavn","ginza izakaya","letz sushi nordhavn","0.1578947368421053","0.1578947368421053","parramatta","copenhagen","parramatta","copenhagen","0.0","0.0","2150","2150","2150","2150","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_15874","tripadvisor_18761","0.275",,"bocconi","chez antonio","bocconi","chez antonio","0.25","0.25","brussels","","brussels","","0.0","0.0","1000","1000","1000","1000","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_24884","tripadvisor_4656","0.3",,"estimar","eldiset","estimar","eldiset","0.2857142857142857","0.2857142857142857","barcelona","","barcelona","","0.0","0.0","8003","8003","8003","8003","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_19798","tripadvisor_78054","0.3954545454545455",,"le bistro de longchamp","chez yannick","le bistro de longchamp","chez yannick","0.13636363636363635","0.13636363636363635","paris","paris","paris","paris","1.0","1.0","75016","75016","75016","75016","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_20393","tripadvisor_77312","0.1",,"m64","o'ginkgo","m64","o'ginkgo","0.0","0.0","paris 08","paris","paris 08","paris","0.0","0.0","75008","75008","75008","75008","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_17840","tripadvisor_72168","0.356",,"20 eiffel","ristorante costa d'amalfi","20 eiffel","ristorante costa d'amalfi","0.07999999999999996","0.07999999999999996","paris","paris","paris","paris","1.0","1.0","75007","75007","75007","75007","1.0","1.0"
